GO	evalue
GO:0044431	0.0
GO:0044463	0.0
GO:0044877	0.0
GO:0045202	0.0
GO:0048193	0.0
GO:0048666	0.0
GO:0048667	0.0
GO:0048699	0.0
GO:0048731	0.0
GO:0048812	0.0
GO:0048858	0.0
GO:0048870	0.0
GO:0050808	0.0
GO:0051015	0.0
GO:0051258	0.0
GO:0051285	0.0
GO:0051286	0.0
GO:0051668	0.0
GO:0051674	0.0
GO:0061024	0.0
GO:0061564	0.0
GO:0072578	0.0
GO:0097113	0.0
GO:0097435	0.0
GO:0097458	0.0
GO:0097485	0.0
GO:0097688	0.0
GO:0098590	0.0
GO:0098791	0.0
GO:0099173	0.0
GO:0120025	0.0
GO:0120036	0.0
GO:0120038	0.0
GO:0120039	0.0
GO:0150034	0.0
GO:0006325	0.0
GO:0006333	0.0
GO:0006334	0.0
GO:0006336	0.0
GO:0006338	0.0
GO:0006351	0.0
GO:0006354	0.0
GO:0006366	0.0
GO:0006368	0.0
GO:0010467	0.0
GO:0016070	0.0
GO:0031055	0.0
GO:0031497	0.0
GO:0032774	0.0
GO:0034080	0.0
GO:0034508	0.0
GO:0034724	0.0
GO:0034728	0.0
GO:0035861	0.0
GO:0043044	0.0
GO:0043486	0.0
GO:0061641	0.0
GO:0065004	0.0
GO:0071824	0.0
GO:0090734	0.0
GO:0097659	0.0
GO:0001558	0.0
GO:0007276	0.0
GO:0007283	0.0
GO:0009888	0.0
GO:0010876	0.0
GO:0019915	0.0
GO:0030856	0.0
GO:0032504	0.0
GO:0036465	0.0
GO:0040008	0.0
GO:0045444	0.0
GO:0045595	0.0
GO:0048232	0.0
GO:0048488	0.0
GO:0048513	0.0
GO:0048609	0.0
GO:0050793	0.0
GO:0051235	0.0
GO:0051647	0.0
GO:0060612	0.0
GO:0061448	0.0
GO:0099003	0.0
GO:0099504	0.0
GO:2000026	0.0
GO:0000075	0.0
GO:0000076	0.0
GO:0000077	0.0
GO:0000122	0.0
GO:0000123	0.0
GO:0000785	0.0
GO:0000790	0.0
GO:0000976	0.0
GO:0000977	0.0
GO:0000978	0.0
GO:0000981	0.0
GO:0000982	0.0
GO:0000987	0.0
GO:0000988	0.0
GO:0000989	0.0
GO:0001012	0.0
GO:0001047	0.0
GO:0001067	0.0
GO:0001076	0.0
GO:0001078	0.0
GO:0001085	0.0
GO:0001091	0.0
GO:0001093	0.0
GO:0001098	0.0
GO:0001099	0.0
GO:0001102	0.0
GO:0001191	0.0
GO:0001227	0.0
GO:0001228	0.0
GO:0001501	0.0
GO:0001505	0.0
GO:0001654	0.0
GO:0001666	0.0
GO:0001736	0.0
GO:0001738	0.0
GO:0001745	0.0
GO:0001751	0.0
GO:0001752	0.0
GO:0001754	0.0
GO:0001756	0.0
GO:0001775	0.0
GO:0001817	0.0
GO:0001818	0.0
GO:0001819	0.0
GO:0002009	0.0
GO:0002064	0.0
